"Name of Satellite, Alternate Names",Owner,Purpose,Class of Orbit,TLE_LINE1,TLE_LINE2
ISS (ZARYA),NASA,Station,LEO,1 25544U 98067A   26027.65966300  .00011148  00000+0  21554-3 0  9996,2 25544  51.6319 275.1786 0011156  36.3768 323.7976 15.48229162549971
CSS (TIANHE),International,Science,LEO,1 48274U 21035A   26027.54848059  .00027185  00000+0  31457-3 0  9991,2 48274  41.4670  98.2014 0009613  15.4420 344.6711 15.61179270271182
ISS (NAUKA),NASA,Station,LEO,1 49044U 21066A   26027.14328214  .00011252  00000+0  21756-3 0  9992,2 49044  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781230446
FREGAT DEB,International,Science,LEO,1 49271U 11037PF  26027.36867691  .00054380  00000+0  97731-1 0  9995,2 49271  51.6486  64.2571 0913584 324.8971  29.4821 12.37018320207578
CSS (WENTIAN),International,Science,LEO,1 53239U 22085A   26027.54848059  .00027185  00000+0  31457-3 0  9994,2 53239  41.4670  98.2014 0009613  15.4420 344.6711 15.61179270173843
CSS (MENGTIAN),International,Science,LEO,1 54216U 22143A   26027.54848059  .00027185  00000+0  31457-3 0  9995,2 54216  41.4670  98.2014 0009613  15.4420 344.6711 15.61179270158640
PROGRESS-MS 31,International,Science,LEO,1 64751U 25146A   26027.14328214  .00011252  00000+0  21756-3 0  9997,2 64751  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781  6753
TIANZHOU-9,International,Science,LEO,1 64786U 25149A   26027.54848059  .00027185  00000+0  31457-3 0  9997,2 64786  41.4670  98.2014 0009613  15.4420 344.6711 15.61179270255304
DRAGON CRS-33,International,Science,LEO,1 65304U 25186A   26027.14328214  .00011252  00000+0  21756-3 0  9996,2 65304  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781   112
PROGRESS-MS 32,International,Science,LEO,1 65586U 25204A   26027.14328214  .00011252  00000+0  21756-3 0  9999,2 65586  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781   271
CYGNUS NG-23,International,Science,LEO,1 65616U 25208A   26027.14328214  .00011252  00000+0  21756-3 0  9997,2 65616  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781   220
DRAGONFLY,International,Science,LEO,1 65729U 98067XH  26027.65768752  .01478975  15247-2  15289-2 0  9991,2 65729  51.6087 256.2466 0007555 218.0139 142.0343 16.10251092 20449
1998-067XK,International,Science,LEO,1 65731U 98067XK  26027.01965262  .00220266  00000+0  12168-2 0  9997,2 65731  51.6246 265.6269 0004118 159.2961 200.8207 15.78430092 20269
RSP-03,International,Science,LEO,1 65732U 98067XL  26027.69313108  .00423395  00000+0  14093-2 0  9995,2 65732  51.6204 259.5751 0005449 183.7564 176.3400 15.88612119 20413
YOTSUBA-KULOVER,International,Science,LEO,1 65941U 98067XN  26026.78542595  .00124754  00000+0  11076-2 0  9995,2 65941  51.6263 272.3380 0004433 169.0329 191.0765 15.67633382 16908
BOTAN,International,Science,LEO,1 65942U 98067XP  26026.68927312  .00263485  00000+0  15443-2 0  9996,2 65942  51.6210 270.1730 0005275 178.3633 181.7385 15.76971767 16920
E-KAGAKU-1,International,Science,LEO,1 65943U 98067XQ  26026.72183308  .00119845  00000+0  10682-2 0  9991,2 65943  51.6283 272.6721 0003158 176.1816 183.9205 15.67561224 16899
HRC MONOBLOCK CAMERA,International,Science,LEO,1 66052U 98067XR  26027.70295526  .00054071  00000+0  70948-3 0  9999,2 66052  51.6293 271.7201 0000451  55.4630 304.6405 15.57999056 15992
HTV-X1,International,Science,LEO,1 66174U 25241A   26027.14328214  .00011252  00000+0  21756-3 0  9994,2 66174  51.6321 277.7306 0011149  34.3982 325.7726 15.48216781   512
SZ-21 MODULE,International,Science,LEO,1 66515U 25246C   26027.58266655  .00038475  00000+0  37527-3 0  9995,2 66515  41.4754  95.8080 0003262 246.4687 113.5811 15.65450528 11621
SHENZHOU-22,International,Science,LEO,1 66645U 25272A   26027.54848059  .00027185  00000+0  31457-3 0  9990,2 66645  41.4670  98.2014 0009613  15.4420 344.6711 15.61179270267640
SOYUZ-MS 28,International,Science,LEO,1 66664U 25275A   26027.65966300  .00011148  00000+0  21554-3 0  9995,2 66664  51.6319 275.1786 0011156  36.3768 323.7976 15.48229162549979
DUPLEX,International,Science,LEO,1 66906U 98067XS  26027.70683010  .00032210  00000+0  50625-3 0  9997,2 66906  51.6305 273.9941 0001858  65.0892 295.0291 15.53329312  8758
1998-067XT,International,Science,LEO,1 66907U 98067XT  26027.68117447  .00111639  00000+0  13928-2 0  9998,2 66907  51.6278 273.0721 0002962 136.2829 223.8399 15.59016939  8766
1998-067XU,International,Science,LEO,1 66908U 98067XU  26027.68076379  .00115122  00000+0  14373-2 0  9993,2 66908  51.6287 273.0686 0002931 133.1827 226.9411 15.58982264  8768
SILVERSAT,International,Science,LEO,1 66909U 98067XV  26027.66481558  .00127884  00000+0  15297-2 0  9995,2 66909  51.6289 272.9632 0003364 145.3172 214.8041 15.60055974  8766
1998-067XW,International,Science,LEO,1 66910U 98067XW  26027.67133054  .00104866  00000+0  13023-2 0  9993,2 66910  51.6275 273.0030 0001715 126.6688 233.4462 15.59170153  8768
1998-067XX,International,Science,LEO,1 66911U 98067XX  26027.70749020  .00132568  00000+0  15212-2 0  9996,2 66911  51.6266 272.4942 0002399 161.8337 198.2743 15.61123558  8765
1998-067XY,International,Science,LEO,1 66912U 98067XY  26027.71426875  .00080303  00000+0  10907-2 0  9993,2 66912  51.6290 273.2941 0002624 108.4931 251.6346 15.56902953  8759
